YEAR,MONTH,BULK_COUNT,MIN_DATE_BULK,MAX_DATE_BULK,MIN_DAY_BULK,MAX_DAY_BULK,AVG_DAY_BULK,DURATION_DAYS_BULK,DURATION_HOURS_BULK,DURATION_MINUTES_BULK
2021,6,706,23-JUN-21 10.40.41.000000000 AM,23-JUN-21 10.41.07.000000000 AM,22.445,22.445,22.445,0,0,0
2021,7,715,13-JUL-21 08.40.18.000000000 AM,13-JUL-21 08.40.59.000000000 AM,12.361,12.362,12.362,0,0,1
2021,8,728,16-AUG-21 10.48.52.000000000 AM,16-AUG-21 10.49.18.000000000 AM,15.451,15.451,15.451,0,0,0
2021,9,698,24-SEP-21 10.41.07.000000000 AM,24-SEP-21 10.41.42.000000000 AM,23.445,23.446,23.445,0,0,1
2021,10,725,25-OCT-21 08.23.17.000000000 AM,25-OCT-21 08.23.46.000000000 AM,24.35,24.35,24.35,0,0,0
2021,11,719,15-NOV-21 03.12.47.000000000 PM,15-NOV-21 03.13.14.000000000 PM,14.634,14.634,14.634,0,0,0
2021,12,730,16-DEC-21 03.19.49.000000000 PM,16-DEC-21 03.20.14.000000000 PM,15.639,15.639,15.639,0,0,0
2022,1,737,24-JAN-22 08.57.24.000000000 AM,24-JAN-22 08.57.54.000000000 AM,23.373,23.374,23.373,0,0,0
2022,2,738,02-FEB-22 09.08.18.000000000 AM,23-FEB-22 11.46.39.000000000 AM,1.381,22.491,20.908,21,2,30398
2022,3,730,23-MAR-22 10.30.39.000000000 AM,23-MAR-22 10.31.08.000000000 AM,22.438,22.438,22.438,0,0,0
2022,4,722,23-APR-22 07.49.43.000000000 PM,23-APR-22 07.50.12.000000000 PM,22.826,22.827,22.826,0,0,0
2022,5,762,23-MAY-22 08.59.56.000000000 AM,23-MAY-22 09.00.26.000000000 AM,22.375,22.375,22.375,0,0,1
2022,6,738,22-JUN-22 02.15.53.000000000 PM,22-JUN-22 02.16.19.000000000 PM,21.594,21.595,21.595,0,0,0
2022,7,727,23-JUL-22 06.47.08.000000000 PM,23-JUL-22 06.47.33.000000000 PM,22.783,22.783,22.783,0,0,0
2022,8,750,24-AUG-22 09.22.32.000000000 AM,24-AUG-22 09.23.02.000000000 AM,23.391,23.391,23.391,0,0,0
2022,9,754,24-SEP-22 05.05.11.000000000 PM,24-SEP-22 05.05.47.000000000 PM,23.712,23.712,23.712,0,0,1
2022,10,764,25-OCT-22 03.06.51.000000000 PM,25-OCT-22 03.07.22.000000000 PM,24.63,24.63,24.63,0,0,1
2022,11,774,22-NOV-22 12.04.14.000000000 PM,23-NOV-22 01.23.35.000000000 PM,21.503,22.558,22.247,1,1,1519
